>>Sample 0
Input Drug value: {'logP': 0.9226, 'tPSA': 64.76}
Start Retrieval 1
Evaluate Input value: 0.9226
Evaluate Output value: 2.0471
Evaluate Input value: 0.9226
Evaluate Output value: -0.4160999999999988
Evaluate Input value: 0.9226
Evaluate Output value: 2.2553
Evaluate Input value: 0.9226
Evaluate Output value: 1.4951000000000003
Evaluate Input value: 0.9226
Evaluate Output value: -0.9689999999999979
Evaluate Input value: 0.9226
Evaluate Output value: 1.089900000000001
Evaluate Input value: 0.9226
Evaluate Output value: 1.6143999999999996
Evaluate Input value: 0.9226
Evaluate Output value: -0.8998999999999986
Evaluate Input value: 0.9226
Evaluate Output value: 2.2706
Evaluate Input value: 0.9226
Evaluate Output value: 0.2610000000000037
Retrieval Result:C[C@H](C[C@H]1CCCCC[NH2+]1)[NH2+]CC1CCOCC1
